LoanAccount,Max_OverdueAmount,Total_Paid,Total_Scheduled,Min_Outstanding,Has_Early_Overdue
L02AD7337C86CA0FE616D07C59B4050E2,0.0,12031.0,12031.0,0.0,0
L02AE3D53C1074E5C97F50144784F1EBD,8130.0,12330.0,12330.0,0.0,1
L02B22990F035B364E1C81655EFF2E07D,15846.0,26250.0,42096.0,15118.0,1
L02B2C823663CA36A73C170B98619C5E7,0.0,14027.0,14027.0,0.0,0
L02B4D37D7644A43F5D9D4BB5AC1B9EF4,0.0,33090.0,33090.0,0.0,0
L02C07ADFD6FF15A977A3A8B21DE8B164,13890.0,0.0,13890.0,13890.0,1
L02C12127E9B15B67B84A99520BBD4521,0.0,52539.0,52539.0,0.0,0
L02C21F50B9DEDA0A73886DC255F7B94E,0.0,21373.0,21373.0,0.0,0
L02C3FC6F18E60D3E144C9B3D33DE7CE1,0.0,11495.0,11495.0,0.0,0
L02C96685FA1771443338D6D60261797F,12829.0,2600.0,15429.0,12479.0,1
L02D20AFFA4B5DDC8534424B46BDEC33D,0.0,57782.0,57782.0,0.0,0
L02D241EC6A64C6B8E108A92C6CF606CB,0.0,17173.0,17173.0,0.0,0
L02D323A5867D27126DA3CF3849F3102C,11179.0,3900.0,15079.0,11179.0,1
L02D911A792655A16C5DD76BB0EDD9D3A,4271.0,7500.0,11771.0,4205.0,1
